nan,-13.3126,-13.17216,-12.9443,-12.63847,-12.26373,-11.82879,-11.34203,-10.81146,-10.24476,-9.649254,-9.031954,-8.399523,-7.758296,-7.114283,-6.47317,-5.840318,-5.220774,-4.619262,-4.040196,-3.487676,-2.965488,-2.477113,-2.025722,-1.614179,-1.245045,-0.9205751,-0.6427236,-0.4131415,-0.2331787,-0.1038846,-0.0260086,nan,-0.0260086,-0.1038846,-0.2331787,-0.4131415,-0.6427236,-0.9205751,-1.245045,-1.614179,-2.025722,-2.477113,-2.965488,-3.487676,-4.040196,-4.619262,-5.220774,-5.840318,-6.47317,-7.114283,-7.758296,-8.399523,-9.031954,-9.649254,-10.24476,-10.81146,-11.34203,-11.82879,-12.26373,-12.63847,-12.9443,-13.17216,-13.3126
nan,nan,-13.17524,-12.94892,-12.64456,-12.27124,-11.83767,-11.35222,-10.8229,-10.2574,-9.663049,-9.046845,-8.415457,-7.77522,-7.132145,-6.491917,-5.8599,-5.241137,-4.640357,-4.06197,-3.510078,-2.988468,-2.50062,-2.049705,-1.638588,-1.269829,-0.9456843,-0.6681078,-0.4387505,-0.2589626,-0.1297934,-0.05199224,-0.0260086,0.0,-0.1297934,-0.2589626,-0.4387505,-0.6681078,-0.9456843,-1.269829,-1.638588,-2.049705,-2.50062,-2.988468,-3.510078,-4.06197,-4.640357,-5.241137,-5.8599,-6.491917,-7.132145,-7.77522,-8.415457,-9.046845,-9.663049,-10.2574,-10.8229,-11.35222,-11.83767,-12.27124,-12.64456,-12.94892,-13.17524,nan
nan,nan,-13.18433,-12.96261,-12.66268,-12.29361,-11.86414,-11.38262,-10.85708,-10.29519,-9.704281,-9.091365,-8.463105,-7.82584,-7.185579,-6.548008,-5.918493,-5.302077,-4.703489,-4.127141,-3.577135,-3.057258,-2.57099,-2.121503,-1.711663,-1.344031,-1.020862,-0.7441105,-0.5154278,-0.3361644,-0.2073698,-0.1297934,-0.1038846,-0.1297934,-0.2073698,-0.3361644,-0.5154278,-0.7441105,-1.020862,-1.344031,-1.711663,-2.121503,-2.57099,-3.057258,-3.577135,-4.127141,-4.703489,-5.302077,-5.918493,-6.548008,-7.185579,-7.82584,-8.463105,-9.091365,-9.704281,-10.29519,-10.85708,-11.38262,-11.86414,-12.29361,-12.66268,-12.96261,-13.18433,nan
nan,nan,-13.19897,-12.9849,-12.69235,-12.33039,-11.90775,-11.43279,-10.91353,-10.35765,-9.77249,-9.165055,-8.542011,-7.909699,-7.274128,-6.640988,-6.015643,-5.403139,-4.808206,-4.235257,-3.688393,-3.171404,-2.687771,-2.240667,-1.832956,-1.467201,-1.145658,-0.8702816,-0.6427236,-0.4643346,-0.3361644,-0.2589626,-0.2331787,-0.2589626,-0.3361644,-0.4643346,-0.6427236,-0.8702816,-1.145658,-1.467201,-1.832956,-2.240667,-2.687771,-3.171404,-3.688393,-4.235257,-4.808206,-5.403139,-6.015643,-6.640988,-7.274128,-7.909699,-8.542011,-9.165055,-9.77249,-10.35765,-10.91353,-11.43279,-11.90775,-12.33039,-12.69235,-12.9849,-13.19897,nan
nan,nan,-13.21836,-13.01502,-12.73281,-12.3808,-11.96772,-11.50194,-10.99148,-10.44402,-9.866911,-9.267151,-8.651412,-8.026035,-7.397033,-6.770097,-6.150592,-5.543566,-4.953751,-4.385561,-3.843099,-3.330155,-2.850212,-2.406442,-2.001714,-1.638588,-1.319322,-1.045871,-0.8198882,-0.6427236,-0.5154278,-0.4387505,-0.4131415,-0.4387505,-0.5154278,-0.6427236,-0.8198882,-1.045871,-1.319322,-1.638588,-2.001714,-2.406442,-2.850212,-3.330155,-3.843099,-4.385561,-4.953751,-5.543566,-6.150592,-6.770097,-7.397033,-8.026035,-8.651412,-9.267151,-9.866911,-10.44402,-10.99148,-11.50194,-11.96772,-12.3808,-12.73281,-13.01502,-13.21836,nan
nan,nan,-13.24143,-13.05188,-12.78296,-12.44375,-12.04297,-11.58899,-11.08985,-10.55323,-9.986472,-9.396584,-8.790239,-8.173783,-7.55323,-6.934272,-6.322278,-5.722299,-5.139067,-4.576998,-4.040196,-3.532455,-3.057258,-2.617778,-2.216884,-1.857139,-1.540802,-1.269829,-1.045871,-0.8702816,-0.7441105,-0.6681078,-0.6427236,-0.6681078,-0.7441105,-0.8702816,-1.045871,-1.269829,-1.540802,-1.857139,-2.216884,-2.617778,-3.057258,-3.532455,-4.040196,-4.576998,-5.139067,-5.722299,-6.322278,-6.934272,-7.55323,-8.173783,-8.790239,-9.396584,-9.986472,-10.55323,-11.08985,-11.58899,-12.04297,-12.44375,-12.78296,-13.05188,-13.24143,nan
nan,nan,-13.26676,-13.09408,-12.84142,-12.51785,-12.1321,-11.69257,-11.20727,-10.68389,-10.12979,-9.551975,-8.957118,-8.351569,-7.741347,-7.132145,-6.529337,-5.937973,-5.36279,-4.808206,-4.278327,-3.776947,-3.307552,-2.873317,-2.477113,-2.121503,-1.808748,-1.540802,-1.319322,-1.145658,-1.020862,-0.9456843,-0.9205751,-0.9456843,-1.020862,-1.145658,-1.319322,-1.540802,-1.808748,-2.121503,-2.477113,-2.873317,-3.307552,-3.776947,-4.278327,-4.808206,-5.36279,-5.937973,-6.529337,-7.132145,-7.741347,-8.351569,-8.957118,-9.551975,-10.12979,-10.68389,-11.20727,-11.69257,-12.1321,-12.51785,-12.84142,-13.09408,-13.26676,nan
nan,nan,-13.29263,-13.1399,-12.90646,-12.60139,-12.23343,-11.81096,-11.34203,-10.83432,-10.29519,-9.731641,-9.150368,-8.557716,-7.959709,-7.362044,-6.770097,-6.188921,-5.623256,-5.077522,-4.555828,-4.06197,-3.599437,-3.171404,-2.780745,-2.430024,-2.121503,-1.857139,-1.638588,-1.467201,-1.344031,-1.269829,-1.245045,-1.269829,-1.344031,-1.467201,-1.638588,-1.857139,-2.121503,-2.430024,-2.780745,-3.171404,-3.599437,-4.06197,-4.555828,-5.077522,-5.623256,-6.188921,-6.770097,-7.362044,-7.959709,-8.557716,-9.150368,-9.731641,-10.29519,-10.83432,-11.34203,-11.81096,-12.23343,-12.60139,-12.90646,-13.1399,-13.29263,nan
nan,nan,nan,-13.18731,-12.97606,-12.69235,-12.34492,-11.94217,-11.49213,-11.00251,-10.48065,-9.933589,-9.367999,-8.790239,-8.206336,-7.621991,-7.042582,-6.47317,-5.918493,-5.382977,-4.870734,-4.385561,-3.930949,-3.510078,-3.125821,-2.780745,-2.477113,-2.216884,-2.001714,-1.832956,-1.711663,-1.638588,-1.614179,-1.638588,-1.711663,-1.832956,-2.001714,-2.216884,-2.477113,-2.780745,-3.125821,-3.510078,-3.930949,-4.385561,-4.870734,-5.382977,-5.918493,-6.47317,-7.042582,-7.621991,-8.206336,-8.790239,-9.367999,-9.933589,-10.48065,-11.00251,-11.49213,-11.94217,-12.34492,-12.69235,-12.97606,-13.18731,nan,nan
nan,nan,nan,-13.23397,-13.04789,-12.78841,-12.46427,-12.08387,-11.65526,-11.18615,-10.68389,-10.15552,-9.607716,-9.046845,-8.478937,-7.909699,-7.344512,-6.78844,-6.246226,-5.722299,-5.220774,-4.745451,-4.299824,-3.887074,-3.510078,-3.171404,-2.873317,-2.617778,-2.406442,-2.240667,-2.121503,-2.049705,-2.025722,-2.049705,-2.121503,-2.240667,-2.406442,-2.617778,-2.873317,-3.171404,-3.510078,-3.887074,-4.299824,-4.745451,-5.220774,-5.722299,-6.246226,-6.78844,-7.344512,-7.909699,-8.478937,-9.046845,-9.607716,-10.15552,-10.68389,-11.18615,-11.65526,-12.08387,-12.46427,-12.78841,-13.04789,-13.23397,nan,nan
nan,nan,nan,-13.27723,-13.1193,-12.88691,-12.58882,-12.23343,-11.82879,-11.38262,-10.90229,-10.39482,-9.866911,-9.324932,-8.774916,-8.222575,-7.673295,-7.132145,-6.603872,-6.092908,-5.603371,-5.139067,-4.703489,-4.299824,-3.930949,-3.599437,-3.307552,-3.057258,-2.850212,-2.687771,-2.57099,-2.50062,-2.477113,-2.50062,-2.57099,-2.687771,-2.850212,-3.057258,-3.307552,-3.599437,-3.930949,-4.299824,-4.703489,-5.139067,-5.603371,-6.092908,-6.603872,-7.132145,-7.673295,-8.222575,-8.774916,-9.324932,-9.866911,-10.39482,-10.90229,-11.38262,-11.82879,-12.23343,-12.58882,-12.88691,-13.1193,-13.27723,nan,nan
nan,nan,nan,nan,-13.18731,-12.9849,-12.71562,-12.3879,-12.00978,-11.58899,-11.13291,-10.64857,-10.14267,-9.621588,-9.091365,-8.557716,-8.026035,-7.501392,-6.988541,-6.491917,-6.015643,-5.563527,-5.139067,-4.745451,-4.385561,-4.06197,-3.776947,-3.532455,-3.330155,-3.171404,-3.057258,-2.988468,-2.965488,-2.988468,-3.057258,-3.171404,-3.330155,-3.532455,-3.776947,-4.06197,-4.385561,-4.745451,-5.139067,-5.563527,-6.015643,-6.491917,-6.988541,-7.501392,-8.026035,-8.557716,-9.091365,-9.621588,-10.14267,-10.64857,-11.13291,-11.58899,-12.00978,-12.3879,-12.71562,-12.9849,-13.18731,nan,nan,nan
nan,nan,nan,nan,-13.24865,-13.0791,-12.84142,-12.54402,-12.19497,-11.80201,-11.37251,-10.91353,-10.43176,-9.933589,-9.425066,-8.911911,-8.399523,-7.892978,-7.397033,-6.916131,-6.454397,-6.015643,-5.603371,-5.220774,-4.870734,-4.555828,-4.278327,-4.040196,-3.843099,-3.688393,-3.577135,-3.510078,-3.487676,-3.510078,-3.577135,-3.688393,-3.843099,-4.040196,-4.278327,-4.555828,-4.870734,-5.220774,-5.603371,-6.015643,-6.454397,-6.916131,-7.397033,-7.892978,-8.399523,-8.911911,-9.425066,-9.933589,-10.43176,-10.91353,-11.37251,-11.80201,-12.19497,-12.54402,-12.84142,-13.0791,-13.24865,nan,nan,nan
nan,nan,nan,nan,-13.2997,-13.16591,-12.96261,-12.69821,-12.3808,-12.01812,-11.61755,-11.18615,-10.73064,-10.2574,-9.77249,-9.281635,-8.790239,-8.303387,-7.82584,-7.362044,-6.916131,-6.491917,-6.092908,-5.722299,-5.382977,-5.077522,-4.808206,-4.576998,-4.385561,-4.235257,-4.127141,-4.06197,-4.040196,-4.06197,-4.127141,-4.235257,-4.385561,-4.576998,-4.808206,-5.077522,-5.382977,-5.722299,-6.092908,-6.491917,-6.916131,-7.362044,-7.82584,-8.303387,-8.790239,-9.281635,-9.77249,-10.2574,-10.73064,-11.18615,-11.61755,-12.01812,-12.3808,-12.69821,-12.96261,-13.16591,-13.2997,nan,nan,nan
nan,nan,nan,nan,nan,-13.24143,-13.07529,-12.84657,-12.56337,-12.23343,-11.86414,-11.46258,-11.03546,-10.58917,-10.12979,-9.663049,-9.194353,-8.728793,-8.271138,-7.82584,-7.397033,-6.988541,-6.603872,-6.246226,-5.918493,-5.623256,-5.36279,-5.139067,-4.953751,-4.808206,-4.703489,-4.640357,-4.619262,-4.640357,-4.703489,-4.808206,-4.953751,-5.139067,-5.36279,-5.623256,-5.918493,-6.246226,-6.603872,-6.988541,-7.397033,-7.82584,-8.271138,-8.728793,-9.194353,-9.663049,-10.12979,-10.58917,-11.03546,-11.46258,-11.86414,-12.23343,-12.56337,-12.84657,-13.07529,-13.24143,nan,nan,nan,nan
nan,nan,nan,nan,nan,-13.30141,-13.17524,-12.9849,-12.73848,-12.44375,-12.1081,-11.73862,-11.34203,-10.92474,-10.49281,-10.052,-9.607716,-9.165055,-8.728793,-8.303387,-7.892978,-7.501392,-7.132145,-6.78844,-6.47317,-6.188921,-5.937973,-5.722299,-5.543566,-5.403139,-5.302077,-5.241137,-5.220774,-5.241137,-5.302077,-5.403139,-5.543566,-5.722299,-5.937973,-6.188921,-6.47317,-6.78844,-7.132145,-7.501392,-7.892978,-8.303387,-8.728793,-9.165055,-9.607716,-10.052,-10.49281,-10.92474,-11.34203,-11.73862,-12.1081,-12.44375,-12.73848,-12.9849,-13.17524,-13.30141,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,-13.25791,-13.10865,-12.90161,-12.64456,-12.34492,-12.00978,-11.64587,-11.25961,-10.85708,-10.44402,-10.02587,-9.607716,-9.194353,-8.790239,-8.399523,-8.026035,-7.673295,-7.344512,-7.042582,-6.770097,-6.529337,-6.322278,-6.150592,-6.015643,-5.918493,-5.8599,-5.840318,-5.8599,-5.918493,-6.015643,-6.150592,-6.322278,-6.529337,-6.770097,-7.042582,-7.344512,-7.673295,-8.026035,-8.399523,-8.790239,-9.194353,-9.607716,-10.02587,-10.44402,-10.85708,-11.25961,-11.64587,-12.00978,-12.34492,-12.64456,-12.90161,-13.10865,-13.25791,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,-13.21295,-13.04789,-12.83102,-12.56977,-12.27124,-11.94217,-11.58899,-11.21779,-10.83432,-10.44402,-10.052,-9.663049,-9.281635,-8.911911,-8.557716,-8.222575,-7.909699,-7.621991,-7.362044,-7.132145,-6.934272,-6.770097,-6.640988,-6.548008,-6.491917,-6.47317,-6.491917,-6.548008,-6.640988,-6.770097,-6.934272,-7.132145,-7.362044,-7.621991,-7.909699,-8.222575,-8.557716,-8.911911,-9.281635,-9.663049,-10.052,-10.44402,-10.83432,-11.21779,-11.58899,-11.94217,-12.27124,-12.56977,-12.83102,-13.04789,-13.21295,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,-13.29263,-13.17216,-12.99797,-12.77749,-12.51785,-12.22579,-11.90775,-11.56983,-11.21779,-10.85708,-10.49281,-10.12979,-9.77249,-9.425066,-9.091365,-8.774916,-8.478937,-8.206336,-7.959709,-7.741347,-7.55323,-7.397033,-7.274128,-7.185579,-7.132145,-7.114283,-7.132145,-7.185579,-7.274128,-7.397033,-7.55323,-7.741347,-7.959709,-8.206336,-8.478937,-8.774916,-9.091365,-9.425066,-9.77249,-10.12979,-10.49281,-10.85708,-11.21779,-11.56983,-11.90775,-12.22579,-12.51785,-12.77749,-12.99797,-13.17216,-13.29263,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,-13.2689,-13.1399,-12.96261,-12.74414,-12.49126,-12.21043,-11.90775,-11.58899,-11.25961,-10.92474,-10.58917,-10.2574,-9.933589,-9.621588,-9.324932,-9.046845,-8.790239,-8.557716,-8.351569,-8.173783,-8.026035,-7.909699,-7.82584,-7.77522,-7.758296,-7.77522,-7.82584,-7.909699,-8.026035,-8.173783,-8.351569,-8.557716,-8.790239,-9.046845,-9.324932,-9.621588,-9.933589,-10.2574,-10.58917,-10.92474,-11.25961,-11.58899,-11.90775,-12.21043,-12.49126,-12.74414,-12.96261,-13.1399,-13.2689,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.251,-13.1193,-12.9443,-12.73281,-12.49126,-12.22579,-11.94217,-11.64587,-11.34203,-11.03546,-10.73064,-10.43176,-10.14267,-9.866911,-9.607716,-9.367999,-9.150368,-8.957118,-8.790239,-8.651412,-8.542011,-8.463105,-8.415457,-8.399523,-8.415457,-8.463105,-8.542011,-8.651412,-8.790239,-8.957118,-9.150368,-9.367999,-9.607716,-9.866911,-10.14267,-10.43176,-10.73064,-11.03546,-11.34203,-11.64587,-11.94217,-12.22579,-12.49126,-12.73281,-12.9443,-13.1193,-13.251,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.24143,-13.11222,-12.9443,-12.74414,-12.51785,-12.27124,-12.00978,-11.73862,-11.46258,-11.18615,-10.91353,-10.64857,-10.39482,-10.15552,-9.933589,-9.731641,-9.551975,-9.396584,-9.267151,-9.165055,-9.091365,-9.046845,-9.031954,-9.046845,-9.091365,-9.165055,-9.267151,-9.396584,-9.551975,-9.731641,-9.933589,-10.15552,-10.39482,-10.64857,-10.91353,-11.18615,-11.46258,-11.73862,-12.00978,-12.27124,-12.51785,-12.74414,-12.9443,-13.11222,-13.24143,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.24143,-13.1193,-12.96261,-12.77749,-12.56977,-12.34492,-12.1081,-11.86414,-11.61755,-11.37251,-11.13291,-10.90229,-10.68389,-10.48065,-10.29519,-10.12979,-9.986472,-9.866911,-9.77249,-9.704281,-9.663049,-9.649254,-9.663049,-9.704281,-9.77249,-9.866911,-9.986472,-10.12979,-10.29519,-10.48065,-10.68389,-10.90229,-11.13291,-11.37251,-11.61755,-11.86414,-12.1081,-12.34492,-12.56977,-12.77749,-12.96261,-13.1193,-13.24143,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.251,-13.1399,-12.99797,-12.83102,-12.64456,-12.44375,-12.23343,-12.01812,-11.80201,-11.58899,-11.38262,-11.18615,-11.00251,-10.83432,-10.68389,-10.55323,-10.44402,-10.35765,-10.29519,-10.2574,-10.24476,-10.2574,-10.29519,-10.35765,-10.44402,-10.55323,-10.68389,-10.83432,-11.00251,-11.18615,-11.38262,-11.58899,-11.80201,-12.01812,-12.23343,-12.44375,-12.64456,-12.83102,-12.99797,-13.1399,-13.251,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.2689,-13.17216,-13.04789,-12.90161,-12.73848,-12.56337,-12.3808,-12.19497,-12.00978,-11.82879,-11.65526,-11.49213,-11.34203,-11.20727,-11.08985,-10.99148,-10.91353,-10.85708,-10.8229,-10.81146,-10.8229,-10.85708,-10.91353,-10.99148,-11.08985,-11.20727,-11.34203,-11.49213,-11.65526,-11.82879,-12.00978,-12.19497,-12.3808,-12.56337,-12.73848,-12.90161,-13.04789,-13.17216,-13.2689,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.29263,-13.21295,-13.10865,-12.9849,-12.84657,-12.69821,-12.54402,-12.3879,-12.23343,-12.08387,-11.94217,-11.81096,-11.69257,-11.58899,-11.50194,-11.43279,-11.38262,-11.35222,-11.34203,-11.35222,-11.38262,-11.43279,-11.50194,-11.58899,-11.69257,-11.81096,-11.94217,-12.08387,-12.23343,-12.3879,-12.54402,-12.69821,-12.84657,-12.9849,-13.10865,-13.21295,-13.29263,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.25791,-13.17524,-13.07529,-12.96261,-12.84142,-12.71562,-12.58882,-12.46427,-12.34492,-12.23343,-12.1321,-12.04297,-11.96772,-11.90775,-11.86414,-11.83767,-11.82879,-11.83767,-11.86414,-11.90775,-11.96772,-12.04297,-12.1321,-12.23343,-12.34492,-12.46427,-12.58882,-12.71562,-12.84142,-12.96261,-13.07529,-13.17524,-13.25791,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.30141,-13.24143,-13.16591,-13.0791,-12.9849,-12.88691,-12.78841,-12.69235,-12.60139,-12.51785,-12.44375,-12.3808,-12.33039,-12.29361,-12.27124,-12.26373,-12.27124,-12.29361,-12.33039,-12.3808,-12.44375,-12.51785,-12.60139,-12.69235,-12.78841,-12.88691,-12.9849,-13.0791,-13.16591,-13.24143,-13.30141,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.2997,-13.24865,-13.18731,-13.1193,-13.04789,-12.97606,-12.90646,-12.84142,-12.78296,-12.73281,-12.69235,-12.66268,-12.64456,-12.63847,-12.64456,-12.66268,-12.69235,-12.73281,-12.78296,-12.84142,-12.90646,-12.97606,-13.04789,-13.1193,-13.18731,-13.24865,-13.2997,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.27723,-13.23397,-13.18731,-13.1399,-13.09408,-13.05188,-13.01502,-12.9849,-12.96261,-12.94892,-12.9443,-12.94892,-12.96261,-12.9849,-13.01502,-13.05188,-13.09408,-13.1399,-13.18731,-13.23397,-13.27723,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.29263,-13.26676,-13.24143,-13.21836,-13.19897,-13.18433,-13.17524,-13.17216,-13.17524,-13.18433,-13.19897,-13.21836,-13.24143,-13.26676,-13.29263,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-13.3126,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
